Movie Name,stars,votes,genre,Gross ,popularity,Certification,genre1,genre2,genre3,star1,star2,star3,star4
Brick Mansions,"Paul Walker, David Belle, RZA, Goûchy Boy",43448,"Action, Crime, Thriller","20,396,829",-,PG-13,Action, Crime, Thriller,Paul Walker, David Belle, RZA, Goûchy Boy
Bad Company,"Anthony Hopkins, Chris Rock, Matthew Marsh, Gabriel Macht",49190,"Action, Comedy, Thriller","30,160,161",-,PG-13,Action, Comedy, Thriller,Anthony Hopkins, Chris Rock, Matthew Marsh, Gabriel Macht
Fire with Fire,"Josh Duhamel, Bruce Willis, Rosario Dawson, Vincent D'Onofrio",27188,"Action, Thriller",,-,R,Action, Thriller,,Josh Duhamel, Bruce Willis, Rosario Dawson, Vincent D'Onofrio
MacGruber,"Will Forte, Kristen Wiig, Val Kilmer, Ryan Phillippe",46561,"Action, Comedy","8,460,995",-,R,Action, Comedy,,Will Forte, Kristen Wiig, Val Kilmer, Ryan Phillippe
The Pink Panther 2,"Steve Martin, Jean Reno, Emily Mortimer, Andy Garcia",46965,"Action, Adventure, Comedy","35,922,978",-,PG,Action, Adventure, Comedy,Steve Martin, Jean Reno, Emily Mortimer, Andy Garcia
Exit Wounds,"Steven Seagal, DMX, Isaiah Washington, Anthony Anderson",36319,"Action, Crime, Thriller","51,758,599",-,R,Action, Crime, Thriller,Steven Seagal, DMX, Isaiah Washington, Anthony Anderson
The Quest,"Jean-Claude Van Damme, Roger Moore, James Remar, Janet Gunn",27235,"Action, Adventure, Drama","21,600,000",-,PG-13,Action, Adventure, Drama,Jean-Claude Van Damme, Roger Moore, James Remar, Janet Gunn
Sleepless,"Jamie Foxx, Michelle Monaghan, Dermot Mulroney, Gabrielle Union",33570,"Action, Thriller","20,783,704",-,R,Action, Thriller,,Jamie Foxx, Michelle Monaghan, Dermot Mulroney, Gabrielle Union
Fighting,"Channing Tatum, Terrence Howard, Luis Guzmán, Zulay Henao",33843,"Action, Crime, Drama","23,036,320",-,PG-13,Action, Crime, Drama,Channing Tatum, Terrence Howard, Luis Guzmán, Zulay Henao
The Skulls,"Joshua Jackson, Paul Walker, Hill Harper, Leslie Bibb",33126,"Action, Crime, Drama","35,046,120",-,PG-13,Action, Crime, Drama,Joshua Jackson, Paul Walker, Hill Harper, Leslie Bibb
