Movie Name,stars,votes,genre,Gross ,popularity,Certification,genre1,genre2,genre3,star1,star2,star3,star4
Dragon Ball Z: Battle of Gods,"Masako Nozawa, Hiromi Tsuru, Ryô Horikawa, Masaharu Satô",29090,"Animation, Action, Adventure","2,553,002",-,TV-PG,Animation, Action, Adventure,Masako Nozawa, Hiromi Tsuru, Ryô Horikawa, Masaharu Satô
Kaabil,"Hrithik Roshan, Yami Gautam, Ronit Roy, Rohit Roy",28216,"Action, Crime, Drama",,-,Not Rated,Action, Crime, Drama,Hrithik Roshan, Yami Gautam, Ronit Roy, Rohit Roy
Don,"Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal, Isha Koppikar",39182,"Action, Crime, Thriller","804,388",-,Not Rated,Action, Crime, Thriller,Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal, Isha Koppikar
Micmacs,"Dany Boon, André Dussollier, Nicolas Marié, Yolande Moreau",30883,"Action, Comedy, Crime","1,260,917",-,R,Action, Comedy, Crime,Dany Boon, André Dussollier, Nicolas Marié, Yolande Moreau
Enthiran,"Rajinikanth, Aishwarya Rai Bachchan, Danny Denzongpa, Santhanam",28884,"Action, Sci-Fi, Thriller","4,373,898",-,Not Rated,Action, Sci-Fi, Thriller,Rajinikanth, Aishwarya Rai Bachchan, Danny Denzongpa, Santhanam
Fanaa,"Aamir Khan, Kajol, Rishi Kapoor, Tabu",34061,"Action, Drama, Romance","2,100,110",-,Not Rated,Action, Drama, Romance,Aamir Khan, Kajol, Rishi Kapoor, Tabu
Marighella,"Seu Jorge, Bruno Gagliasso, Luiz Carlos Vasconcelos, Humberto Carrão",55663,"Action, Drama, History",,-,,Action, Drama, History,Seu Jorge, Bruno Gagliasso, Luiz Carlos Vasconcelos, Humberto Carrão
Koi... Mil Gaya,"Rekha, Hrithik Roshan, Preity G Zinta, Prem Chopra",25985,"Action, Drama, Romance","681,000",-,Not Rated,Action, Drama, Romance,Rekha, Hrithik Roshan, Preity G Zinta, Prem Chopra
Gabbar Is Back,"Akshay Kumar, Shruti Haasan, Kareena Kapoor, Suman",25907,"Action, Crime, Drama",,-,Not Rated,Action, Crime, Drama,Akshay Kumar, Shruti Haasan, Kareena Kapoor, Suman
Extraction II,"Chris Hemsworth, Golshifteh Farahani, Adam Bessa, Tornike Gogrichiani",110888,"Action, Thriller",,51,R,Action, Thriller,,Chris Hemsworth, Golshifteh Farahani, Adam Bessa, Tornike Gogrichiani
Transformers,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",660142,"Action, Adventure, Sci-Fi","319,246,193",173,PG-13,Action, Adventure, Sci-Fi,Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson
The Unbearable Weight of Massive Talent,"Nicolas Cage, Pedro Pascal, Tiffany Haddish, Sharon Horgan",131029,"Action, Comedy, Crime",,188,R,Action, Comedy, Crime,Nicolas Cage, Pedro Pascal, Tiffany Haddish, Sharon Horgan
The Northman,"Alexander Skarsgård, Nicole Kidman, Claes Bang, Ethan Hawke",232756,"Action, Adventure, Drama","34,233,110",307,R,Action, Adventure, Drama,Alexander Skarsgård, Nicole Kidman, Claes Bang, Ethan Hawke
World War Z,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale",693498,"Action, Adventure, Horror","202,359,711",458,PG-13,Action, Adventure, Horror,Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale
Jack Reacher,"Tom Cruise, Rosamund Pike, Richard Jenkins, Werner Herzog",352916,"Action, Mystery, Thriller","80,070,736",517,PG-13,Action, Mystery, Thriller,Tom Cruise, Rosamund Pike, Richard Jenkins, Werner Herzog
Independence Day,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell",591685,"Action, Adventure, Sci-Fi","306,169,255",560,PG-13,Action, Adventure, Sci-Fi,Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell
Thor,"Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston",876253,"Action, Fantasy","181,030,624",615,PG-13,Action, Fantasy,,Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston
Death Proof,"Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito",303567,"Action, Thriller",,622,R,Action, Thriller,,Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito
Rush Hour,"Jackie Chan, Chris Tucker, Ken Leung, Tom Wilkinson",282673,"Action, Comedy, Crime","141,153,686",806,PG-13,Action, Comedy, Crime,Jackie Chan, Chris Tucker, Ken Leung, Tom Wilkinson
Greyhound,"Tom Hanks, Elisabeth Shue, Stephen Graham, Matt Helm",105583,"Action, Drama, History",,891,PG-13,Action, Drama, History,Tom Hanks, Elisabeth Shue, Stephen Graham, Matt Helm
Stargate,"Kurt Russell, James Spader, Jaye Davidson, Viveca Lindfors",198593,"Action, Adventure, Sci-Fi","71,565,669",938,PG-13,Action, Adventure, Sci-Fi,Kurt Russell, James Spader, Jaye Davidson, Viveca Lindfors
Shazam!,"Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer",369590,"Action, Adventure, Comedy","140,371,656",959,PG-13,Action, Adventure, Comedy,Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer
Star Trek Beyond,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana",253277,"Action, Adventure, Sci-Fi","158,848,340",1026,PG-13,Action, Adventure, Sci-Fi,Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana
Highlander,"Christopher Lambert, Sean Connery, Clancy Brown, Roxanne Hart",141940,"Action, Adventure, Fantasy","5,900,000",1135,R,Action, Adventure, Fantasy,Christopher Lambert, Sean Connery, Clancy Brown, Roxanne Hart
Constantine,"Keanu Reeves, Rachel Weisz, Djimon Hounsou, Shia LaBeouf",361150,"Action, Fantasy, Horror","75,976,178",1224,R,Action, Fantasy, Horror,Keanu Reeves, Rachel Weisz, Djimon Hounsou, Shia LaBeouf
Sicario: Day of the Soldado,"Benicio Del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan",158104,"Action, Crime, Drama","50,072,235",1237,R,Action, Crime, Drama,Benicio Del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan
Oblivion,"Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko",540663,"Action, Adventure, Sci-Fi","89,021,735",1263,PG-13,Action, Adventure, Sci-Fi,Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko
Super 8,"Elle Fanning, AJ Michalka, Kyle Chandler, Joel Courtney",362280,"Action, Mystery, Sci-Fi","127,004,179",1492,PG-13,Action, Mystery, Sci-Fi,Elle Fanning, AJ Michalka, Kyle Chandler, Joel Courtney
Spy,"Melissa McCarthy, Rose Byrne, Jude Law, Jason Statham",252021,"Action, Comedy","110,825,712",1563,R,Action, Comedy,,Melissa McCarthy, Rose Byrne, Jude Law, Jason Statham
The Italian Job,"Donald Sutherland, Mark Wahlberg, Edward Norton, Charlize Theron",379631,"Action, Crime, Thriller","106,128,601",1564,PG-13,Action, Crime, Thriller,Donald Sutherland, Mark Wahlberg, Edward Norton, Charlize Theron
Underworld,"Kate Beckinsale, Scott Speedman, Shane Brolly, Michael Sheen",278590,"Action, Fantasy, Thriller","51,970,690",1624,R,Action, Fantasy, Thriller,Kate Beckinsale, Scott Speedman, Shane Brolly, Michael Sheen
Public Enemies,"Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke",311419,"Action, Biography, Crime","97,104,620",1633,R,Action, Biography, Crime,Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke
The Last Boy Scout,"Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham",108369,"Action, Comedy, Crime","59,509,925",1654,R,Action, Comedy, Crime,Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham
Chronicle,"Dane DeHaan, Alex Russell, Michael B. Jordan, Michael Kelly",258072,"Action, Drama, Sci-Fi","64,575,175",1690,PG-13,Action, Drama, Sci-Fi,Dane DeHaan, Alex Russell, Michael B. Jordan, Michael Kelly
Den of Thieves,"Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent",118763,"Action, Crime, Drama","44,947,622",1709,R,Action, Crime, Drama,Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent
RED,"Bruce Willis, Helen Mirren, Morgan Freeman, Mary-Louise Parker",316943,"Action, Comedy, Crime","90,380,162",1762,PG-13,Action, Comedy, Crime,Bruce Willis, Helen Mirren, Morgan Freeman, Mary-Louise Parker
Logan Lucky,"Channing Tatum, Adam Driver, Daniel Craig, Farrah Mackenzie",156450,"Action, Comedy, Crime","27,780,977",1777,PG-13,Action, Comedy, Crime,Channing Tatum, Adam Driver, Daniel Craig, Farrah Mackenzie
22 Jump Street,"Channing Tatum, Jonah Hill, Ice Cube, Nick Offerman",392752,"Action, Comedy, Crime","191,719,337",1815,R,Action, Comedy, Crime,Channing Tatum, Jonah Hill, Ice Cube, Nick Offerman
Fallen,"Denzel Washington, John Goodman, Donald Sutherland, Embeth Davidtz",88077,"Action, Crime, Drama","25,188,006",1879,R,Action, Crime, Drama,Denzel Washington, John Goodman, Donald Sutherland, Embeth Davidtz
Cloverfield,"Mike Vogel, Jessica Lucas, Lizzy Caplan, T.J. Miller",411116,"Action, Adventure, Horror","80,048,433",1889,PG-13,Action, Adventure, Horror,Mike Vogel, Jessica Lucas, Lizzy Caplan, T.J. Miller
Fast & Furious 6,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez",407501,"Action, Adventure, Crime","238,679,850",1910,PG-13,Action, Adventure, Crime,Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez
Planet Terror,"Rose McGowan, Freddy Rodríguez, Josh Brolin, Marley Shelton",218146,"Action, Comedy, Horror",,1931,R,Action, Comedy, Horror,Rose McGowan, Freddy Rodríguez, Josh Brolin, Marley Shelton
Smokey and the Bandit,"Burt Reynolds, Sally Field, Jerry Reed, Mike Henry",54775,"Action, Adventure, Comedy","126,737,428",2022,PG,Action, Adventure, Comedy,Burt Reynolds, Sally Field, Jerry Reed, Mike Henry
Ant-Man and the Wasp,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins",430930,"Action, Adventure, Comedy","216,648,740",2099,PG-13,Action, Adventure, Comedy,Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins
Bronson,"Tom Hardy, Kelly Adams, Luing Andrews, Katy Barker",136996,"Action, Crime, Drama","104,792",2176,R,Action, Crime, Drama,Tom Hardy, Kelly Adams, Luing Andrews, Katy Barker
The Spy Who Loved Me,"Roger Moore, Barbara Bach, Curd Jürgens, Richard Kiel",112974,"Action, Adventure, Thriller","46,800,000",2362,PG,Action, Adventure, Thriller,Roger Moore, Barbara Bach, Curd Jürgens, Richard Kiel
The Kingdom,"Jamie Foxx, Chris Cooper, Jennifer Garner, Jason Bateman",129980,"Action, Drama, Thriller","47,536,778",2374,R,Action, Drama, Thriller,Jamie Foxx, Chris Cooper, Jennifer Garner, Jason Bateman
Rambo,"Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish",239024,"Action, Adventure, Thriller","42,754,105",2390,R,Action, Adventure, Thriller,Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish
9,"Elijah Wood, Jennifer Connelly, Crispin Glover, Christopher Plummer",144007,"Animation, Action, Adventure","31,743,332",2527,PG-13,Animation, Action, Adventure,Elijah Wood, Jennifer Connelly, Crispin Glover, Christopher Plummer
The Foreigner,"Katie Leung, Jackie Chan, Rufus Jones, Mark Tandy",119271,"Action, Thriller","34,393,507",2653,R,Action, Thriller,,Katie Leung, Jackie Chan, Rufus Jones, Mark Tandy
Body of Lies,"Leonardo DiCaprio, Russell Crowe, Mark Strong, Golshifteh Farahani",234014,"Action, Drama, Thriller","39,394,666",3036,R,Action, Drama, Thriller,Leonardo DiCaprio, Russell Crowe, Mark Strong, Golshifteh Farahani
Maverick,"Mel Gibson, Jodie Foster, James Garner, Graham Greene",115821,"Action, Adventure, Comedy","101,631,272",3058,PG,Action, Adventure, Comedy,Mel Gibson, Jodie Foster, James Garner, Graham Greene
Pitch Black,"Radha Mitchell, Cole Hauser, Vin Diesel, Keith David",248291,"Action, Horror, Sci-Fi","39,240,659",3063,R,Action, Horror, Sci-Fi,Radha Mitchell, Cole Hauser, Vin Diesel, Keith David
Chip 'n Dale: Rescue Rangers,"Andy Samberg, John Mulaney, KiKi Layne, Will Arnett",44507,"Animation, Action, Adventure",,3293,PG,Animation, Action, Adventure,Andy Samberg, John Mulaney, KiKi Layne, Will Arnett
A Most Violent Year,"Oscar Isaac, Jessica Chastain, David Oyelowo, Alessandro Nivola",75324,"Action, Crime, Drama","5,740,310",3776,R,Action, Crime, Drama,Oscar Isaac, Jessica Chastain, David Oyelowo, Alessandro Nivola
The Towering Inferno,"Paul Newman, Steve McQueen, William Holden, Faye Dunaway",46506,"Action, Drama, Thriller","116,000,000",3853,PG,Action, Drama, Thriller,Paul Newman, Steve McQueen, William Holden, Faye Dunaway
Spy Game,"Robert Redford, Brad Pitt, Catherine McCormack, Stephen Dillane",161841,"Action, Crime, Thriller","26,871",3961,R,Action, Crime, Thriller,Robert Redford, Brad Pitt, Catherine McCormack, Stephen Dillane
Brotherhood of the Wolf,"Samuel Le Bihan, Mark Dacascos, Jérémie Renier, Vincent Cassel",69166,"Action, Adventure, Drama","11,260,096",4106,R,Action, Adventure, Drama,Samuel Le Bihan, Mark Dacascos, Jérémie Renier, Vincent Cassel
Hellboy II: The Golden Army,"Ron Perlman, Selma Blair, Doug Jones, John Alexander",279896,"Action, Adventure, Fantasy","75,754,670",4160,PG-13,Action, Adventure, Fantasy,Ron Perlman, Selma Blair, Doug Jones, John Alexander
Filth,"James McAvoy, Jamie Bell, Eddie Marsan, Imogen Poots",112962,"Action, Comedy, Crime","34,321",4852,R,Action, Comedy, Crime,James McAvoy, Jamie Bell, Eddie Marsan, Imogen Poots
Unleashed,"Jet Li, Bob Hoskins, Morgan Freeman, Kerry Condon",106240,"Action, Crime, Thriller","24,520,892",4886,R,Action, Crime, Thriller,Jet Li, Bob Hoskins, Morgan Freeman, Kerry Condon
Thunderbolt and Lightfoot,"Clint Eastwood, Jeff Bridges, George Kennedy, Geoffrey Lewis",27184,"Action, Comedy, Crime","25,000,000",-,R,Action, Comedy, Crime,Clint Eastwood, Jeff Bridges, George Kennedy, Geoffrey Lewis
Ip Man 4: The Finale,"Donnie Yen, Scott Adkins, Danny Kwok-Kwan Chan, Vanness Wu",35032,"Action, Biography, Drama","3,956,031",-,Not Rated,Action, Biography, Drama,Donnie Yen, Scott Adkins, Danny Kwok-Kwan Chan, Vanness Wu
Ichi the Killer,"Tadanobu Asano, Nao Ômori, Shin'ya Tsukamoto, Paulyn Sun",58423,"Action, Crime, Drama","20,285",-,R,Action, Crime, Drama,Tadanobu Asano, Nao Ômori, Shin'ya Tsukamoto, Paulyn Sun
Dragon: The Bruce Lee Story,"Jason Scott Lee, Lauren Holly, Robert Wagner, Michael Learned",32144,"Action, Biography, Drama","35,112,679",-,PG-13,Action, Biography, Drama,Jason Scott Lee, Lauren Holly, Robert Wagner, Michael Learned
The War of the Worlds,"Gene Barry, Ann Robinson, Les Tremayne, Robert Cornthwaite",37404,"Action, Sci-Fi, Thriller","4,360,000",-,G,Action, Sci-Fi, Thriller,Gene Barry, Ann Robinson, Les Tremayne, Robert Cornthwaite
Juice,"Omar Epps, Tupac Shakur, Jermaine Hopkins, Khalil Kain",28876,"Action, Crime, Drama","20,146,880",-,R,Action, Crime, Drama,Omar Epps, Tupac Shakur, Jermaine Hopkins, Khalil Kain
Taxi,"Samy Naceri, Frédéric Diefenthal, Marion Cotillard, Manuela Gourary",86812,"Action, Comedy, Crime","268,254",-,Not Rated,Action, Comedy, Crime,Samy Naceri, Frédéric Diefenthal, Marion Cotillard, Manuela Gourary
Son of Rambow,"Bill Milner, Will Poulter, Jessica Hynes, Anna Wing",32642,"Action, Adventure, Comedy","1,784,769",-,PG-13,Action, Adventure, Comedy,Bill Milner, Will Poulter, Jessica Hynes, Anna Wing
Ip Man 3,"Donnie Yen, Lynn Xiong, Jin Zhang, Mike Tyson",58454,"Action, Biography, Drama","2,679,437",-,PG-13,Action, Biography, Drama,Donnie Yen, Lynn Xiong, Jin Zhang, Mike Tyson
The Protector,"Tony Jaa, Nathan Jones, Xing Jin, Phetthai Vongkumlao",38329,"Action, Crime, Drama","11,905,519",-,R,Action, Crime, Drama,Tony Jaa, Nathan Jones, Xing Jin, Phetthai Vongkumlao
Curse of the Golden Flower,"Chow Yun-Fat, Gong Li, Jay Chou, Ye Liu",45251,"Action, Drama, Romance","6,566,773",-,R,Action, Drama, Romance,Chow Yun-Fat, Gong Li, Jay Chou, Ye Liu
Don 2,"Shah Rukh Khan, Florian Lukas, Om Puri, Priyanka Chopra Jonas",55603,"Action, Crime, Thriller","3,680,306",-,Not Rated,Action, Crime, Thriller,Shah Rukh Khan, Florian Lukas, Om Puri, Priyanka Chopra Jonas
Kabir Singh,"Shahid Kapoor, Kiara Advani, Nikita Dutta, Soham Majumdar",36537,"Action, Drama, Romance",,-,Not Rated,Action, Drama, Romance,Shahid Kapoor, Kiara Advani, Nikita Dutta, Soham Majumdar
Sultan,"Salman Khan, Anushka Sharma, Randeep Hooda, Amit Sadh",49490,"Action, Drama, Romance","6,200,000",-,Not Rated,Action, Drama, Romance,Salman Khan, Anushka Sharma, Randeep Hooda, Amit Sadh
Main Hoon Na,"Shah Rukh Khan, Sushmita Sen, Suniel Shetty, Zayed Khan",38124,"Action, Comedy, Drama","1,722,450",-,Not Rated,Action, Comedy, Drama,Shah Rukh Khan, Sushmita Sen, Suniel Shetty, Zayed Khan
Dhamaka,"Kartik Aaryan, Mrunal Thakur, Amruta Subhash, Soham Majumdar",41996,"Action, Crime, Drama",,-,TV-14,Action, Crime, Drama,Kartik Aaryan, Mrunal Thakur, Amruta Subhash, Soham Majumdar
The Warlords,"Jet Li, Andy Lau, Takeshi Kaneshiro, Jinglei Xu",27458,"Action, Adventure, Drama","128,978",-,R,Action, Adventure, Drama,Jet Li, Andy Lau, Takeshi Kaneshiro, Jinglei Xu
Vikrant Rona,"Sudeep, Nirup Bhandari, Neetha Ashok, Jacqueline Fernandez",28132,"Action, Crime, Drama",,-,Not Rated,Action, Crime, Drama,Sudeep, Nirup Bhandari, Neetha Ashok, Jacqueline Fernandez
The Legend Is Born: Ip Man,"Yu-Hang To, Yi Huang, Biao Yuen, Siu-Wong Fan",32588,"Action, Biography, Drama",,-,Not Rated,Action, Biography, Drama,Yu-Hang To, Yi Huang, Biao Yuen, Siu-Wong Fan
The Flash,"Ezra Miller, Michael Keaton, Sasha Calle, Michael Shannon",128362,"Action, Adventure, Fantasy",,6,PG-13,Action, Adventure, Fantasy,Ezra Miller, Michael Keaton, Sasha Calle, Michael Shannon
Sisu,"Jorma Tommila, Aksel Hennie, Jack Doolan, Mimosa Willamo",48154,"Action, War",,70,R,Action, War,,Jorma Tommila, Aksel Hennie, Jack Doolan, Mimosa Willamo
Mission: Impossible III,"Tom Cruise, Michelle Monaghan, Ving Rhames, Philip Seymour Hoffman",377051,"Action, Adventure, Thriller","134,029,801",103,PG-13,Action, Adventure, Thriller,Tom Cruise, Michelle Monaghan, Ving Rhames, Philip Seymour Hoffman
Top Gun,"Tom Cruise, Tim Robbins, Kelly McGillis, Val Kilmer",480454,"Action, Drama","179,800,601",134,PG,Action, Drama,,Tom Cruise, Tim Robbins, Kelly McGillis, Val Kilmer
Jumanji: Welcome to the Jungle,"Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black",401880,"Action, Adventure, Comedy","404,515,480",323,PG-13,Action, Adventure, Comedy,Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black
Captain America: The First Avenger,"Chris Evans, Hugo Weaving, Samuel L. Jackson, Hayley Atwell",871943,"Action, Adventure, Sci-Fi","176,654,505",367,PG-13,Action, Adventure, Sci-Fi,Chris Evans, Hugo Weaving, Samuel L. Jackson, Hayley Atwell
Doctor Strange in the Multiverse of Madness,"Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong",447359,"Action, Adventure, Fantasy","411,331,607",391,PG-13,Action, Adventure, Fantasy,Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong
Dragged Across Concrete,"Mel Gibson, Vince Vaughn, Tory Kittles, Michael Jai White",52081,"Action, Crime, Drama",,454,R,Action, Crime, Drama,Mel Gibson, Vince Vaughn, Tory Kittles, Michael Jai White
The Woman King,"Viola Davis, Thuso Mbedu, Lashana Lynch, Sheila Atim",65769,"Action, Drama, History","67,328,130",493,PG-13,Action, Drama, History,Viola Davis, Thuso Mbedu, Lashana Lynch, Sheila Atim
Jurassic World,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Judy Greer",661835,"Action, Adventure, Sci-Fi","652,270,625",687,PG-13,Action, Adventure, Sci-Fi,Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Judy Greer
Conan the Barbarian,"Arnold Schwarzenegger, James Earl Jones, Max von Sydow, Sandahl Bergman",157186,"Action, Adventure, Fantasy","39,565,475",710,R,Action, Adventure, Fantasy,Arnold Schwarzenegger, James Earl Jones, Max von Sydow, Sandahl Bergman
The Magnificent Seven,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio",221025,"Action, Adventure, Drama","93,432,655",810,PG-13,Action, Adventure, Drama,Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio
Solo: A Star Wars Story,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover",364702,"Action, Adventure, Sci-Fi","213,767,512",843,PG-13,Action, Adventure, Sci-Fi,Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover
The Amazing Spider-Man,"Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan",679554,"Action, Adventure, Sci-Fi","262,030,663",876,PG-13,Action, Adventure, Sci-Fi,Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan
The Mask,"Jim Carrey, Cameron Diaz, Peter Riegert, Peter Greene",403179,"Action, Comedy, Crime","119,938,730",921,PG-13,Action, Comedy, Crime,Jim Carrey, Cameron Diaz, Peter Riegert, Peter Greene
28 Weeks Later,"Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau",285464,"Action, Adventure, Horror","28,638,916",992,R,Action, Adventure, Horror,Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau
X-Men: Apocalypse,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",449156,"Action, Adventure, Sci-Fi","155,442,489",1075,PG-13,Action, Adventure, Sci-Fi,James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult
Game Night,"Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan",246800,"Action, Adventure, Comedy","69,179,066",1107,R,Action, Adventure, Comedy,Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan
In the Heart of the Sea,"Chris Hemsworth, Cillian Murphy, Brendan Gleeson, Ben Whishaw",144576,"Action, Adventure, Biography","25,020,758",1143,PG-13,Action, Adventure, Biography,Chris Hemsworth, Cillian Murphy, Brendan Gleeson, Ben Whishaw
Pacific Rim,"Idris Elba, Charlie Hunnam, Rinko Kikuchi, Charlie Day",516800,"Action, Adventure, Sci-Fi","101,802,906",1147,PG-13,Action, Adventure, Sci-Fi,Idris Elba, Charlie Hunnam, Rinko Kikuchi, Charlie Day
The Last Kingdom: Seven Kings Must Die,"Mark Rowley, Pekka Strang, Zoltan Andrasi, Ingrid García Jonsson",29911,"Action, Drama, History",,1163,TV-MA,Action, Drama, History,Mark Rowley, Pekka Strang, Zoltan Andrasi, Ingrid García Jonsson
Con Air,"Nicolas Cage, John Cusack, John Malkovich, Colm Meaney",310225,"Action, Crime, Thriller","101,117,573",1200,R,Action, Crime, Thriller,Nicolas Cage, John Cusack, John Malkovich, Colm Meaney
Clear and Present Danger,"Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida",104611,"Action, Crime, Drama","122,187,717",1229,PG-13,Action, Crime, Drama,Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida
A Knight's Tale,"Heath Ledger, Mark Addy, Rufus Sewell, Shannyn Sossamon",195065,"Action, Adventure, Romance","56,569,702",1244,PG-13,Action, Adventure, Romance,Heath Ledger, Mark Addy, Rufus Sewell, Shannyn Sossamon
Iron Man 2,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle",844075,"Action, Sci-Fi","312,433,331",1316,PG-13,Action, Sci-Fi,,Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle
Pineapple Express,"Seth Rogen, James Franco, Gary Cole, Danny McBride",349707,"Action, Comedy, Crime","87,341,380",1386,R,Action, Comedy, Crime,Seth Rogen, James Franco, Gary Cole, Danny McBride
Robin Hood: Prince of Thieves,"Kevin Costner, Morgan Freeman, Mary Elizabeth Mastrantonio, Christian Slater",201957,"Action, Adventure, Drama","165,500,000",1399,PG-13,Action, Adventure, Drama,Kevin Costner, Morgan Freeman, Mary Elizabeth Mastrantonio, Christian Slater
Star Wars: Episode VIII - The Last Jedi,"Daisy Ridley, John Boyega, Mark Hamill, Carrie Fisher",652657,"Action, Adventure, Fantasy","620,181,382",1407,PG-13,Action, Adventure, Fantasy,Daisy Ridley, John Boyega, Mark Hamill, Carrie Fisher
The World's End,"Simon Pegg, Nick Frost, Martin Freeman, Rosamund Pike",291337,"Action, Comedy, Sci-Fi","26,004,851",1487,R,Action, Comedy, Sci-Fi,Simon Pegg, Nick Frost, Martin Freeman, Rosamund Pike
National Treasure,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean",345273,"Action, Adventure, Mystery","173,008,894",1505,PG,Action, Adventure, Mystery,Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean
Clash of the Titans,"Laurence Olivier, Harry Hamlin, Claire Bloom, Maggie Smith",46409,"Action, Adventure, Family","41,092,328",1657,PG,Action, Adventure, Family,Laurence Olivier, Harry Hamlin, Claire Bloom, Maggie Smith
Outlaw King,"Chris Pine, Stephen Dillane, Rebecca Robin, Billy Howle",77019,"Action, Biography, Drama",,1745,R,Action, Biography, Drama,Chris Pine, Stephen Dillane, Rebecca Robin, Billy Howle
Crank,"Jason Statham, Amy Smart, Carlos Sanz, Jose Pablo Cantillo",257048,"Action, Crime, Thriller","27,829,874",1843,R,Action, Crime, Thriller,Jason Statham, Amy Smart, Carlos Sanz, Jose Pablo Cantillo
Atlantis: The Lost Empire,"Michael J. Fox, Jim Varney, Corey Burton, Claudia Christian",127858,"Animation, Action, Adventure","84,052,762",1956,PG,Animation, Action, Adventure,Michael J. Fox, Jim Varney, Corey Burton, Claudia Christian
Romancing the Stone,"Michael Douglas, Kathleen Turner, Danny DeVito, Zack Norman",99624,"Action, Adventure, Comedy","76,572,238",2028,PG,Action, Adventure, Comedy,Michael Douglas, Kathleen Turner, Danny DeVito, Zack Norman
The Hitman's Bodyguard,"Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung",240017,"Action, Comedy, Crime","75,468,583",2172,R,Action, Comedy, Crime,Ryan Reynolds, Samuel L. Jackson, Gary Oldman, Elodie Yung
Love and Monsters,"Dylan O'Brien, Jessica Henwick, Michael Rooker, Dan Ewing",135982,"Action, Adventure, Comedy","1,070,714",2202,PG-13,Action, Adventure, Comedy,Dylan O'Brien, Jessica Henwick, Michael Rooker, Dan Ewing
